,oat,bldg,2010_bldg,2010_shed_pct,2010_shed_W_ft2,WWR,R-value
2017-05-01 11:00:00,66.92,99.66557853726113,94.21180193036311,0.05472077245685292,0.1016964385563142,0.30076543,11.529631199999999
2017-05-01 12:00:00,68.8325,105.54620023789434,96.40267501934436,0.08650152064513816,0.17049909037349853,0.30076543,11.529631199999999
2017-05-01 13:00:00,71.2175,106.84445675518893,95.3499942062241,0.10748049291863371,0.21433696108310613,0.30076543,11.529631199999999
2017-05-01 14:00:00,71.96000000000001,110.00333922515145,96.28584501835964,0.12468790095170074,0.25578977785469903,0.30076543,11.529631199999999
2017-05-01 15:00:00,71.96000000000001,115.67959066639237,100.38099058064157,0.13224967547197583,0.2852726203802267,0.30076543,11.529631199999999
2017-05-01 16:00:00,70.16,79.88525680210435,73.52047126860691,0.07958480403699164,0.11868399965498307,0.30076543,11.529631199999999
2017-05-02 11:00:00,69.50750000000001,103.40066621524412,97.24369077839145,0.05948553654239683,0.11480896988238729,0.30076543,11.529631199999999
2017-05-02 12:00:00,72.29750000000001,110.9807848354831,100.08303883283521,0.09813105857739461,0.20321000228701244,0.30076543,11.529631199999999
2017-05-02 13:00:00,73.60249999999999,110.38432933587109,97.67096421978471,0.11510445769244715,0.2370658073410602,0.30076543,11.529631199999999
2017-05-02 14:00:00,75.17750000000001,115.01269711697655,99.1068907429594,0.13822262500422824,0.29659518113703964,0.30076543,11.529631199999999
2017-05-02 15:00:00,77.27000000000001,121.74859144245538,103.4111644345742,0.1506160019840599,0.3419375514261425,0.30076543,11.529631199999999
2017-05-02 16:00:00,77.405,85.09442303179654,80.17373811912408,0.05776977218648774,0.09175589081585092,0.30076543,11.529631199999999
2017-05-03 11:00:00,76.5275,111.2256738051454,101.59367064557466,0.08652554304225557,0.1796077265527477,0.30076543,11.529631199999999
2017-05-03 12:00:00,79.88,118.55612858175638,103.6857427108298,0.12534968800831525,0.2772877204245278,0.30076543,11.529631199999999
2017-05-03 13:00:00,80.96000000000001,118.0748851801935,101.066972054064,0.14398867408639818,0.31714613869861846,0.30076543,11.529631199999999
2017-05-03 14:00:00,79.72250000000001,119.78210117848548,101.64393409210987,0.1514103728542604,0.33822195655955084,0.30076543,11.529631199999999
2017-05-03 15:00:00,77.7425,121.60345967765976,105.76414984369819,0.13022005437456582,0.2953552217864092,0.30076543,11.529631199999999
2017-05-03 16:00:00,77.67500000000001,86.59057025907,80.99518614421733,0.06462225951858827,0.10433699028217853,0.30076543,11.529631199999999
2017-05-04 11:00:00,71.89250000000001,107.99594040936125,99.61225497638958,0.07760613111698308,0.15633037653784765,0.30076543,11.529631199999999
2017-05-04 12:00:00,74.84,116.6547044565506,102.45348995764999,0.12164586155613683,0.2648096982714369,0.30076543,11.529631199999999
2017-05-04 13:00:00,77.27000000000001,117.36013390028909,100.53249864313564,0.14330455944715342,0.313784501699736,0.30076543,11.529631199999999
2017-05-04 14:00:00,78.08000000000001,120.49929043755606,100.95893354834186,0.16214906085802278,0.36436855540415825,0.30076543,11.529631199999999
2017-05-04 15:00:00,78.6425,125.88598079199166,104.91471587370808,0.16659535504367518,0.39105066230856217,0.30076543,11.529631199999999
2017-05-04 16:00:00,78.4175,87.7661143994913,79.69112700134846,0.09192629246696396,0.15057409185766432,0.30076543,11.529631199999999
2017-05-05 11:00:00,71.2175,107.74354889500728,98.7287017121808,0.08365887971896044,0.16809963419904694,0.30076543,11.529631199999999
2017-05-05 12:00:00,73.1975,114.96658625847667,100.92395359440758,0.12210207327866365,0.2618526266888393,0.30076543,11.529631199999999
2017-05-05 13:00:00,75.8525,116.10238506953158,99.28069711230708,0.144741988630156,0.31367360254390453,0.30076543,11.529631199999999
2017-05-05 14:00:00,77.0,120.33984306041596,100.47359667427052,0.16506478286861462,0.37044540885629584,0.30076543,11.529631199999999
2017-05-05 15:00:00,77.67500000000001,127.06785459765251,105.12996976588855,0.17264803353515915,0.40907520011493903,0.30076543,11.529631199999999
2017-05-05 16:00:00,78.08000000000001,90.38960486657017,80.1021801021527,0.11380389090968815,0.19182935713465876,0.30076543,11.529631199999999
2017-05-08 11:00:00,86.83250000000001,118.35586503444273,106.12294399400777,0.10335103291009208,0.22810697845220687,0.30076543,11.529631199999999
2017-05-08 12:00:00,88.65499999999999,126.42650231979886,108.55902418430318,0.14124803349273812,0.333174426335043,0.30076543,11.529631199999999
2017-05-08 13:00:00,89.06,125.83984435864214,105.72223378285182,0.15980494119907293,0.3751325907322729,0.30076543,11.529631199999999
2017-05-08 14:00:00,89.6225,130.2045749986618,107.25138375325722,0.1762678303047262,0.4280075938950656,0.30076543,11.529631199999999
2017-05-08 15:00:00,89.96000000000001,137.17852023375784,112.06802460985988,0.18304987533906064,0.46823479570183446,0.30076543,11.529631199999999
2017-05-08 16:00:00,89.39750000000001,99.14303162845572,86.45632699409713,0.12793102616160787,0.23656866999251486,0.30076543,11.529631199999999
2017-05-09 11:00:00,81.29750000000001,121.28465448347382,103.70273678510358,0.14496106668514835,0.32784958787145213,0.30076543,11.529631199999999
2017-05-09 12:00:00,82.60249999999999,128.56462585114306,105.80105143756266,0.17702803856178742,0.4244718134851277,0.30076543,11.529631199999999
2017-05-09 13:00:00,83.615,126.81210275563626,102.34781360117381,0.19286474769001122,0.456184999523802,0.30076543,11.529631199999999
2017-05-09 14:00:00,84.13250000000001,130.52693144232546,103.6746647823669,0.2057182566556331,0.5007135574692054,0.30076543,11.529631199999999
