WWR,R-value
0.27673652,10.14700578
0.30421578,10.14700578
0.30421578,11.15457847
0.32326348,11.85299422
0.29578422,11.85299422
0.29578422,10.84542153
0.30421578,11.85299422
0.30421578,10.84542153
0.27673652,10.84542153
