model_Id,bldg_type,bldg_vintage,climate
model_SmallRetail_2010_4A,SmallRetail,2010,4A
model_SmallRetail_2016_2A,SmallRetail,2016,2A
model_SmallRetail_2016_2B,SmallRetail,2016,2B
model_SmallRetail_2016_3A,SmallRetail,2016,3A
model_SmallRetail_2016_3B,SmallRetail,2016,3B
model_SmallRetail_2016_4A,SmallRetail,2016,4A
model_MediumRetail_pre1980_2A,MediumRetail,pre1980,2A
model_MediumRetail_pre1980_2B,MediumRetail,pre1980,2B
model_MediumRetail_pre1980_3A,MediumRetail,pre1980,3A
model_MediumRetail_pre1980_3B,MediumRetail,pre1980,3B
model_MediumRetail_pre1980_4A,MediumRetail,pre1980,4A
model_MediumRetail_post1980_2A,MediumRetail,post1980,2A
model_MediumRetail_post1980_2B,MediumRetail,post1980,2B
model_MediumRetail_post1980_3A,MediumRetail,post1980,3A
model_MediumRetail_post1980_3B,MediumRetail,post1980,3B
model_MediumRetail_post1980_4A,MediumRetail,post1980,4A
model_MediumRetail_2004_2A,MediumRetail,2004,2A
model_MediumRetail_2004_2B,MediumRetail,2004,2B
model_MediumRetail_2004_3A,MediumRetail,2004,3A
model_MediumRetail_2004_3B,MediumRetail,2004,3B
model_MediumRetail_2004_4A,MediumRetail,2004,4A
model_MediumRetail_2010_2A,MediumRetail,2010,2A
model_MediumRetail_2010_2B,MediumRetail,2010,2B
model_MediumRetail_2010_3A,MediumRetail,2010,3A
model_MediumRetail_2010_3B,MediumRetail,2010,3B
model_MediumRetail_2010_4A,MediumRetail,2010,4A
model_MediumRetail_2016_2A,MediumRetail,2016,2A
model_MediumRetail_2016_2B,MediumRetail,2016,2B
model_MediumRetail_2016_3A,MediumRetail,2016,3A
model_MediumRetail_2016_3B,MediumRetail,2016,3B
model_MediumRetail_2016_4A,MediumRetail,2016,4A
