Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/01  14:45:00,19.15,14.5,22131353.33418073,3093499.547705426,6899009.291210592,0.0,1707556.832063917 
 01/01  15:00:00,19.0,15.0,26777478.768667677,4589597.872859215,10049036.40054375,0.0,1707556.832063917 
 01/01  15:15:00,18.725,19.25,17015019.850904284,1593235.7245060369,3282939.631133533,0.0,1707556.832063917 
 01/01  15:30:00,18.45,23.5,16465009.511076207,1478499.1999814036,2830607.936985083,0.0,1724614.7109089243 
 01/01  15:45:00,18.174999999999998,27.75,16398735.184632658,1478499.1999814036,2730217.8528515205,0.0,1758730.4685989374 
 01/01  16:00:00,17.9,32.0,12190018.131799732,0.0,0.0,0.0,1758730.4685989374 
 01/01  16:15:00,17.625,33.5,12343536.438842558,0.0,0.0,0.0,1912248.7756417643 
 01/01  16:30:00,17.35,35.0,12394708.774096463,0.0,0.0,0.0,1963421.1108956694 
 01/01  16:45:00,17.075000000000004,36.5,12394708.774096463,0.0,0.0,0.0,1963421.1108956694 
 01/01  17:00:00,16.8,38.0,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  17:15:00,14.950000000000001,42.5,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  17:30:00,13.100000000000002,47.0,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  17:45:00,11.25,51.5,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  18:00:00,9.4,56.0,19524058.774096468,0.0,0.0,0.0,1963421.1108956694 
 01/01  18:15:00,8.975000000000002,55.25,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  18:30:00,8.55,54.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  18:45:00,8.125,53.75,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  19:00:00,7.7,53.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  19:15:00,7.550000000000001,50.75,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  19:30:00,7.4,48.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  19:45:00,7.249999999999999,46.25,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  20:00:00,7.1,44.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  20:15:00,6.424999999999999,49.75,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  20:30:00,5.75,55.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  20:45:00,5.075,61.25,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  21:00:00,4.4,67.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  21:15:00,4.525,66.25,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  21:30:00,4.65,65.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  21:45:00,4.775,64.75,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  22:00:00,4.9,64.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  22:15:00,4.925000000000001,63.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  22:30:00,4.95,63.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  22:45:00,4.975,62.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  23:00:00,5.0,62.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  23:15:00,4.775,65.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  23:30:00,4.55,69.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  23:45:00,4.324999999999999,72.5,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/01  24:00:00,4.1,76.0,17921514.586527818,0.0,0.0,0.0,2171926.0076279526 
 01/02  00:15:00,3.7749999999999996,72.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  00:30:00,3.4499999999999999,68.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  00:45:00,3.1249999999999997,64.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  01:00:00,2.8,60.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  01:15:00,2.4999999999999997,63.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  01:30:00,2.2,67.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  01:45:00,1.9000000000000002,70.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  02:00:00,1.6,74.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  02:15:00,1.4500000000000002,80.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  02:30:00,1.3,87.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  02:45:00,1.15,93.5,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  03:00:00,1.0,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  03:15:00,0.875,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  03:30:00,0.75,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  03:45:00,0.625,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  04:00:00,0.5,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  04:15:00,0.35,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  04:30:00,0.2,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  04:45:00,0.04999999999999999,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  05:00:00,-0.1,100.0,18329026.446161115,0.0,0.0,0.0,2171926.0076279526 
 01/02  05:15:00,-0.1,99.0,98610790.5692205,4555841.164856939,0.0,73553996.95057449,4343852.015255905 
 01/02  05:30:00,-0.1,98.0,90342733.78832716,4555841.164856939,0.0,65285940.16968115,4343852.015255905 
 01/02  05:45:00,-0.1,97.0,20500952.453789068,0.0,0.0,0.0,4343852.015255905 
 01/02  06:00:00,-0.1,96.0,92438638.32423936,4555841.164856939,0.0,67381844.70559332,4343852.015255905 
 01/02  06:15:00,0.04999999999999999,96.0,84365264.44054549,4555841.164856939,0.0,54845568.57754798,3926842.2217913388 
 01/02  06:30:00,0.2,96.0,93057219.04298269,4555841.164856939,0.0,63537523.17998515,3926842.2217913388 
 01/02  06:45:00,0.35,96.0,90249724.19446247,4555841.164856939,0.0,60730028.33146496,3926842.2217913388 
 01/02  07:00:00,0.5,96.0,76227561.34734497,4555841.164856939,0.0,53837215.484347458,3926842.2217913388 
 01/02  07:15:00,0.9,89.75,90197857.83154552,4555841.164856939,0.0,50078762.86817548,11473484.846163894 
 01/02  07:30:00,1.3,83.5,85176907.2280252,4555841.164856939,0.0,45671895.903075378,10859401.207743656 
 01/02  07:45:00,1.7000000000000002,77.25,80875520.5134439,4555841.164856939,0.0,41677543.20001753,10552367.196220233 
 01/02  08:00:00,2.1,71.0,77745715.64592919,4555841.164856939,0.0,38547738.3325028,10552367.196220233 
 01/02  08:15:00,3.7750000000000005,66.25,99206088.39943518,4555841.164856939,0.0,11630313.479711879,31657101.58866069 
 01/02  08:30:00,5.45,61.5,95703449.48800054,4640648.804705252,0.0,8963968.962999236,30735999.554090404 
 01/02  08:45:00,7.125000000000001,56.75,94646724.09053251,4945296.720198577,0.0,7602595.650037874,30735999.554090404 
 01/02  09:00:00,8.8,52.0,93537609.91151838,5119089.315799946,0.0,6319688.8754224,30735999.554090404 
 01/02  09:15:00,9.925,48.25,84737930.71894747,4915085.568974501,0.0,5287863.954705469,30735999.554090404 
 01/02  09:30:00,11.05,44.5,84078125.73079583,5295777.446364323,0.0,4485407.841103149,30497958.802151257 
 01/02  09:45:00,12.175,40.75,83822570.9822506,5688015.128662507,0.0,3837615.410259731,30497958.802151257 
 01/02  10:00:00,13.3,37.0,83767606.5140146,6080855.670515039,0.0,3389810.4001712056,30497958.802151257 
 01/02  10:15:00,14.000000000000002,35.5,81867612.43957944,6366588.0248709679,0.0,3068608.314663952,30378938.42618168 
 01/02  10:30:00,14.700000000000001,34.0,81920874.55559592,6714942.743533304,0.0,2654495.3360485325,30497958.802151257 
 01/02  10:45:00,15.400000000000003,32.5,83698361.42892634,7024485.953994535,1951541.3211085126,2289918.0537787724,30378938.42618168 
 01/02  11:00:00,16.1,31.0,85931901.11190373,7374497.037345054,4534421.845699742,1966593.3999221188,30002911.155073979 
 01/02  11:15:00,16.375,30.25,89602709.49601063,7568594.185368164,6318043.889616995,1914178.6247744056,30002911.155073979 
 01/02  11:30:00,16.65,29.5,91222069.99934682,7573913.2034259629,7963509.528146429,1882754.4715233315,30002911.155073979 
 01/02  11:45:00,16.924999999999998,28.75,92618528.19730179,7587347.310913734,9357461.235295989,1871826.8548409888,30002911.155073979 
 01/02  12:00:00,17.2,28.0,94037201.89536391,7571359.466528909,10802031.024943276,1861918.6076406826,30002911.155073979 
 01/02  12:15:00,17.775,26.25,95090117.56805349,7675848.850423822,11170826.53660668,1554164.2796346406,30002911.155073979 
 01/02  12:30:00,18.35,24.5,96841238.77661595,7840596.692669369,13333607.304606872,977756.8779513661,30002911.155073979 
 01/02  12:45:00,18.925,22.75,98101824.58976923,7954918.52983421,15295133.169471685,162494.9890750028,30002911.155073979 
 01/02  13:00:00,19.5,21.0,100283807.60693367,8064008.980536597,17154493.453901017,0.0,30378938.42618168 
 01/02  13:15:00,19.625,21.5,102312601.61269076,7674600.646425307,18886466.075821837,0.0,30497966.60983795 
 01/02  13:30:00,19.75,22.0,102478978.96435946,7710638.315493204,19016805.758422644,0.0,30497966.60983795 
