BaseModelId,BldgType,BldgVint,BldgLoc,TimeStep
MediumOffice_Post1980_3B,MediumOffice,DOE Ref 1980-2004,ASHRAE 169-2006-3B,4
MediumOffice_2010_3B,MediumOffice,90.1-2010,ASHRAE 169-2006-3B,4
